id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Renegade,Aaryan Shah,soul,moody,0.56,103,0.21,0.55,0.51
2,The Reason,Tim Halperin,folk,melancholic,0.21,150,0.21,0.42,0.89
3,Vou Deixar na Cruz,Cassiane,soul,moody,0.67,136,0.18,0.29,0.56
4,MORE,K/DA,pop,intense,0.79,142,0.2,0.66,0.0
5,Dilemma,Brandon Chase,folk,chill,0.25,141,0.52,0.63,0.79
6,Bow Down,Westside Connection,metal,chill,0.46,93,0.47,0.89,0.02
7,Re:Re:,ASIAN KUNG-FU GENERATION,pop,happy,0.86,153,0.73,0.54,0.0
8,Samjhawan,Jawad Ahmad,pop,chill,0.48,107,0.52,0.65,0.29
9,When We Were Young,Adele,soul,moody,0.59,144,0.27,0.38,0.3
10,True - 2003 Remaster,Spandau Ballet,pop,moody,0.52,98,0.34,0.78,0.36
11,Tubthumping,Chumbawamba,punk,happy,0.88,101,0.61,0.35,0.13
12,The Wakhra Song,Navv Inder,hip-hop,chill,0.89,90,0.59,0.79,0.34
13,This Is Why,Paramore,punk,happy,0.74,123,0.69,0.72,0.0
14,Glauben,Dax Wolf,ambient,melancholic,0.07,167,0.04,0.09,0.92
15,The Good Ones,Gabby Barrett,country,moody,0.55,90,0.33,0.52,0.18
16,Dura - Remix,Daddy Yankee,reggae,happy,0.8,95,0.85,0.77,0.19
17,Jolene,Dolly Parton,country,chill,0.54,111,0.81,0.67,0.57
18,Love Runs Out,OneRepublic,classical,happy,0.93,120,0.74,0.71,0.17
19,Hall of Fame (feat. will.i.am),The Script,rock,happy,0.87,85,0.63,0.42,0.07
20,Kabhi Kabhi Mere Dil Mein Duet,Mukesh,pop,chill,0.32,111,0.4,0.5,0.98
21,On My Own,Darci,soul,chill,0.59,130,0.58,0.77,0.03
22,Just the Way You Are,Billy Joel,classical,chill,0.45,139,0.51,0.59,0.7
23,space girl,Frances Forever,indie,moody,0.4,126,0.2,0.67,0.33
24,Vikram Title Track - Telugu,Anirudh Ravichander,hip-hop,intense,0.87,170,0.12,0.64,0.25
25,Whiskey Glasses,Morgan Wallen,country,happy,0.68,150,0.71,0.61,0.37
26,X Gon' Give It To Ya - Int'l Bonus track,DMX,metal,happy,0.82,95,0.64,0.75,0.04
27,That's Amore,Dean Martin,jazz,chill,0.17,124,0.58,0.41,0.76
28,Progress,Ever So Blue,classical,melancholic,0.02,100,0.04,0.27,0.99
29,You & I (Nobody in the World),John Legend,soul,melancholic,0.34,84,0.22,0.46,0.13
30,Why I Sing The Blues,B.B. King,blues,chill,0.49,118,0.72,0.79,0.24
31,Baby Outlaw,Elle King,blues,intense,0.92,152,0.38,0.48,0.06
32,Sin Pijama,Becky G,reggae,happy,0.74,94,0.82,0.79,0.35
33,Gold (Stupid Love),Excision,reggae,intense,0.73,146,0.07,0.36,0.0
34,Muito Sagaz,MC Hariel,funk,moody,0.57,88,0.29,0.55,0.53
35,i don't mind,demxntia,lofi,energetic,0.6,77,0.49,0.33,0.79
36,Sola (Remix),Anuel AA,latin,happy,0.87,170,0.77,0.64,0.27
37,Seu Amor Me Persegue (Studio),Casa Worship,soul,moody,0.6,134,0.09,0.36,0.02
38,Castle,Halsey,indie,moody,0.57,130,0.16,0.63,0.25
39,SUPERMODEL,Måneskin,indie,happy,0.88,121,0.8,0.64,0.0
40,moon and back,JVKE,indie,chill,0.49,180,0.49,0.59,0.57
41,Aaj Se Teri,Arijit Singh,pop,chill,0.57,80,0.86,0.71,0.59
42,Contra La Pared,Sean Paul,reggae,chill,0.59,94,0.6,0.83,0.02
43,Can't Smile Without You,Barry Manilow,funk,chill,0.52,98,0.48,0.42,0.49
44,Coming Undone,Korn,metal,chill,0.68,75,0.55,0.69,0.0
45,Tortured Soul,Chord Overstreet,folk,moody,0.5,87,0.14,0.55,0.47
46,Wildflowers,Zimmer,funk,moody,0.54,101,0.26,0.73,0.35
47,These Foolish Things - Remastered 1995,Lester Young,jazz,chill,0.1,66,0.44,0.59,0.99
48,Smile For Me,Gentle Bones,lofi,moody,0.65,106,0.25,0.67,0.14
49,Ma Belle,AP Dhillon,hip-hop,melancholic,0.31,97,0.24,0.91,0.04
50,What's New Scooby-Doo?,Simple Plan,punk,chill,0.95,158,0.51,0.49,0.0
51,Coming for You (feat. A1 x J1),SwitchOTR,lofi,chill,0.48,140,0.84,0.81,0.22
52,When A Blind Man Cries - Remastered,Deep Purple,blues,melancholic,0.27,64,0.22,0.52,0.84
53,Koop Island Blues,Koop,lofi,chill,0.54,79,0.52,0.56,0.73
54,Call Me,Rangga Jones,lofi,moody,0.36,80,0.35,0.71,0.2
55,No Surrender,Beast In Black,metal,intense,0.99,174,0.33,0.35,0.0
56,Bag Boy,BrxkenBxy,lofi,intense,0.82,91,0.37,0.72,0.25
57,Get Down,Nas,metal,chill,0.72,94,0.51,0.83,0.04
58,Fireflies,Owl City,indie,energetic,0.66,180,0.47,0.51,0.03
59,Remember To Remember Me,Isak Danielson,folk,moody,0.46,96,0.23,0.5,0.8
60,DOMINATION,Kayzo,reggae,intense,0.99,150,0.47,0.51,0.0
61,Sex Sounds,Lil Tjay,r&b,chill,0.43,130,0.37,0.86,0.28
62,Will You Love Me Tomorrow,The Shirelles,rock,chill,0.31,136,0.51,0.53,0.55
63,Goiaba,Oaty.,jazz,energetic,0.68,103,0.37,0.76,0.62
64,Beyond,Leon Bridges,blues,moody,0.69,76,0.19,0.58,0.23
65,Turn Down for What,DJ Snake,electronic,intense,0.8,100,0.08,0.82,0.0
66,In Too Deep,Sum 41,punk,happy,0.84,116,0.77,0.57,0.0
67,Stay Together For The Kids,blink-182,punk,intense,0.78,145,0.17,0.52,0.0
68,Elements,Ludovico Einaudi,ambient,chill,0.27,108,0.39,0.67,0.98
69,Wavy,Zach Diamond,lofi,moody,0.48,94,0.19,0.75,0.56
70,Other Half,Rangga Jones,lofi,moody,0.48,85,0.24,0.6,0.7
71,Mishri,Anuv Jain,indie,melancholic,0.16,80,0.18,0.53,0.92
72,Hardwired,Metallica,rock,chill,0.99,186,0.53,0.13,0.0
73,Ella Quiere Beber - Remix,Anuel AA,latin,happy,0.67,95,0.7,0.75,0.27
74,Summertime,Louis Armstrong,jazz,melancholic,0.07,168,0.1,0.17,0.92
75,"When the Going Gets Tough, The Tough Get Going",Billy Ocean,funk,happy,0.76,122,0.93,0.76,0.41
76,Don't You Remember,Adele,soul,moody,0.4,115,0.23,0.64,0.21
77,Gasolina,Daddy Yankee,latin,happy,0.8,96,0.74,0.85,0.32
78,Haven't Met You Yet,Michael Bublé,pop,happy,0.73,123,0.8,0.61,0.15
79,Text You Back,Presence,lofi,chill,0.55,170,0.63,0.55,0.75
